id,category_name,category_type
233,Toy Vehicle Playsets,Toys_Games
234,Kids' Play Trains & Trams,Baby_Kids
235,Kids' Play Trucks,Baby_Kids
236,Kids' Play Cars & Race Cars,Baby_Kids
237,Kids' Play Boats,Baby_Kids
238,Kids' Play Buses,Baby_Kids
239,Kids' Play Tractors,Baby_Kids
240,"Slot Cars, Race Tracks & Accessories",Others
241,"Sony PSP Games, Consoles & Accessories",Gaming
242,"Nintendo DS Games, Consoles & Accessories",Gaming
243,"PlayStation 3 Games, Consoles & Accessories",Gaming
244,"Wii Games, Consoles & Accessories",Gaming
245,"Xbox 360 Games, Consoles & Accessories",Gaming
248,Mac Games & Accessories,Gaming
249,"Nintendo 3DS & 2DS Consoles, Games & Accessories",Gaming
250,Legacy Systems,Others
251,"PlayStation Vita Games, Consoles & Accessories",Gaming
252,"Wii U Games, Consoles & Accessories",Gaming
253,"PlayStation 4 Games, Consoles & Accessories",Gaming
254,"Xbox One Games, Consoles & Accessories",Gaming
255,Video Games,Gaming
256,Online Video Game Services,Gaming
259,Virtual Reality Hardware & Accessories,Others
260,"Nintendo Switch Consoles, Games & Accessories",Gaming
261,"PlayStation 5 Consoles, Games & Accessories",Gaming
262,"Xbox Series X & S Consoles, Games & Accessories",Gaming
263,PC Games & Accessories,Gaming
264,Baby Girls' Clothing & Shoes,Baby_Kids
265,Boys' School Uniforms,Baby_Kids
270,Toys & Games,Gaming
